algorithm,scenario,metric,ql_condition,n,n_valid,mean,std,ci95_low,ci95_high,median,iqr
fuzzy_3x3,multi_level_irradiance,convergence_time_s,not_applicable,50,50,2.03432,0.02345420200809942,2.0276543895498933,2.040985610450107,2.031,0.002000000000000224
fuzzy_3x3,multi_level_irradiance,convergence_rate,not_applicable,50,50,1.0,,0.9286524008666414,1.0,,
fuzzy_3x3,multi_level_irradiance,energy_yield_j,not_applicable,50,50,682.6676703535627,27.45931101117007,674.8638205203611,690.4715201867643,687.1029172258418,42.18636300905746
fuzzy_3x3,multi_level_irradiance,energy_yield_ratio,not_applicable,50,50,0.9161770432362776,0.03685188483949988,0.9057038534595598,0.9266502330129953,0.9221293851178891,0.056616387453228945
fuzzy_3x3,multi_level_irradiance,oscillation_p2p_w,not_applicable,50,50,102.91517552228171,0.40949786497403545,102.79879751687676,103.03155352768667,102.97360459239238,0.017542684308651246
fuzzy_3x3,multi_level_irradiance,oscillation_std_w,not_applicable,50,50,40.738283015371536,0.08639351015432115,40.713730251482694,40.76283577926038,40.751529299016944,0.007576050559663372
fuzzy_3x3,multi_level_irradiance,settling_time_s,not_applicable,50,50,2.03432,0.02345420200809942,2.0276543895498933,2.040985610450107,2.031,0.002000000000000224
fuzzy_3x3,multi_level_irradiance,settling_rate,not_applicable,50,50,1.0,,0.9286524008666414,1.0,,
fuzzy_3x3,multi_level_irradiance,tracking_efficiency_pct,not_applicable,50,50,91.61770432362779,3.685188483949988,90.57038534595601,92.66502330129957,92.21293851178892,5.66163874532289
fuzzy_3x3,partial_shading_complex_pattern_a,convergence_time_s,not_applicable,50,0,,,,,,
fuzzy_3x3,partial_shading_complex_pattern_a,convergence_rate,not_applicable,50,0,0.0,,0.0,0.07134759913335872,,
fuzzy_3x3,partial_shading_complex_pattern_a,energy_yield_j,not_applicable,50,50,443.83952461654485,167.5986060696215,396.2085278486649,491.4705213844248,349.65760182952624,298.7744321363524
fuzzy_3x3,partial_shading_complex_pattern_a,energy_yield_ratio,not_applicable,50,50,0.4936297878810706,0.18639994812266072,0.4406555088296369,0.5466040669325043,0.3888824637040422,0.3322911804377353
fuzzy_3x3,partial_shading_complex_pattern_a,oscillation_p2p_w,not_applicable,50,50,0.0,0.0,0.0,0.0,0.0,0.0
fuzzy_3x3,partial_shading_complex_pattern_a,oscillation_std_w,not_applicable,50,50,0.0,0.0,0.0,0.0,0.0,0.0
fuzzy_3x3,partial_shading_complex_pattern_a,settling_time_s,not_applicable,50,0,,,,,,
fuzzy_3x3,partial_shading_complex_pattern_a,settling_rate,not_applicable,50,0,0.0,,0.0,0.07134759913335872,,
fuzzy_3x3,partial_shading_complex_pattern_a,tracking_efficiency_pct,not_applicable,50,50,49.36297878810706,18.63999481226607,44.06555088296369,54.66040669325042,38.88824637040422,33.229118043773525
fuzzy_3x3,partial_shading_complex_pattern_b,convergence_time_s,not_applicable,50,0,,,,,,
fuzzy_3x3,partial_shading_complex_pattern_b,convergence_rate,not_applicable,50,0,0.0,,0.0,0.07134759913335872,,
fuzzy_3x3,partial_shading_complex_pattern_b,energy_yield_j,not_applicable,50,50,326.78161482096186,36.37568256413518,316.4437602333049,337.11946940861884,342.37405061919605,19.156637373231774
fuzzy_3x3,partial_shading_complex_pattern_b,energy_yield_ratio,not_applicable,50,50,0.6719934524396443,0.07480292465203207,0.6507346964995809,0.6932522083797076,0.704057724995919,0.0393936938362498
fuzzy_3x3,partial_shading_complex_pattern_b,oscillation_p2p_w,not_applicable,50,50,0.0,0.0,0.0,0.0,0.0,0.0
fuzzy_3x3,partial_shading_complex_pattern_b,oscillation_std_w,not_applicable,50,50,0.0,0.0,0.0,0.0,0.0,0.0
fuzzy_3x3,partial_shading_complex_pattern_b,settling_time_s,not_applicable,50,0,,,,,,
fuzzy_3x3,partial_shading_complex_pattern_b,settling_rate,not_applicable,50,0,0.0,,0.0,0.07134759913335872,,
fuzzy_3x3,partial_shading_complex_pattern_b,tracking_efficiency_pct,not_applicable,50,50,67.19934524396443,7.480292465203206,65.0734696499581,69.32522083797076,70.4057724995919,3.939369383624978
fuzzy_3x3,partial_shading_complex_pattern_c,convergence_time_s,not_applicable,50,41,0.9121951219512194,0.6344505977423378,0.7119378042300492,1.1124524396723898,0.91,1.0299999999999998
fuzzy_3x3,partial_shading_complex_pattern_c,convergence_rate,not_applicable,50,41,0.82,,0.6920394632569922,0.9022980732976582,,
fuzzy_3x3,partial_shading_complex_pattern_c,energy_yield_j,not_applicable,50,50,647.0570726079563,168.00925107633918,599.3093718205955,694.8047733953172,704.8345769172903,218.3146895766996
fuzzy_3x3,partial_shading_complex_pattern_c,energy_yield_ratio,not_applicable,50,50,0.8034059705244598,0.20860545558066462,0.7441209560870651,0.8626909849618546,0.875144297619829,0.2710662358610588
fuzzy_3x3,partial_shading_complex_pattern_c,oscillation_p2p_w,not_applicable,50,50,4.575842435401641,2.96410117137997,3.7334542042309105,5.418230666572371,5.924127793747118,5.275106311105574
fuzzy_3x3,partial_shading_complex_pattern_c,oscillation_std_w,not_applicable,50,50,1.1832256540654524,0.7661636762586224,0.9654843467637559,1.400966961367149,1.662775036845514,1.537597743811371
fuzzy_3x3,partial_shading_complex_pattern_c,settling_time_s,not_applicable,50,40,0.8875,0.6199038386965912,0.6892451350849593,1.0857548649150406,0.905,1.0474999999999999
fuzzy_3x3,partial_shading_complex_pattern_c,settling_rate,not_applicable,50,40,0.8,,0.6696289406777459,0.887562499842239,,
fuzzy_3x3,partial_shading_complex_pattern_c,tracking_efficiency_pct,not_applicable,50,50,80.34059705244599,20.860545558066462,74.41209560870651,86.26909849618546,87.51442976198291,27.106623586105883
fuzzy_3x3,partial_shading_simple,convergence_time_s,not_applicable,50,0,,,,,,
fuzzy_3x3,partial_shading_simple,convergence_rate,not_applicable,50,0,0.0,,0.0,0.07134759913335872,,
fuzzy_3x3,partial_shading_simple,energy_yield_j,not_applicable,50,50,357.2128626503295,43.61292057964809,344.8182077788917,369.6075175217673,376.76125725756515,18.059738387221387
fuzzy_3x3,partial_shading_simple,energy_yield_ratio,not_applicable,50,50,0.8651809691225222,0.10563188742254187,0.8351607189163952,0.8952012193286492,0.9125278055874604,0.04374126352569352
fuzzy_3x3,partial_shading_simple,oscillation_p2p_w,not_applicable,50,50,0.0,0.0,0.0,0.0,0.0,0.0
fuzzy_3x3,partial_shading_simple,oscillation_std_w,not_applicable,50,50,0.0,0.0,0.0,0.0,0.0,0.0
fuzzy_3x3,partial_shading_simple,settling_time_s,not_applicable,50,0,,,,,,
fuzzy_3x3,partial_shading_simple,settling_rate,not_applicable,50,0,0.0,,0.0,0.07134759913335872,,
fuzzy_3x3,partial_shading_simple,tracking_efficiency_pct,not_applicable,50,50,86.51809691225222,10.563188742254187,83.51607189163953,89.52012193286491,91.25278055874604,4.374126352569348
fuzzy_3x3,rapid_double_step,convergence_time_s,not_applicable,50,50,0.05886000000000001,0.060530650019942255,0.041657379625819405,0.07606262037418061,0.035,0.081
fuzzy_3x3,rapid_double_step,convergence_rate,not_applicable,50,50,1.0,,0.9286524008666414,1.0,,
fuzzy_3x3,rapid_double_step,energy_yield_j,not_applicable,50,50,507.6972124954229,7.46584592614353,505.5754425623847,509.8189824284611,511.83733562100684,5.734668494559855
fuzzy_3x3,rapid_double_step,energy_yield_ratio,not_applicable,50,50,0.9292135931542533,0.013664375829186599,0.9253302205163884,0.9330969657921183,0.9367910597838528,0.010495885709489672
fuzzy_3x3,rapid_double_step,oscillation_p2p_w,not_applicable,50,50,238.71791202339915,0.0007365293396694248,238.7177027040771,238.7181213427212,238.718123309595,0.0013955606013666966
fuzzy_3x3,rapid_double_step,oscillation_std_w,not_applicable,50,50,112.01461088646602,0.5515642805522595,111.85785805253524,112.1713637203968,111.7939879106712,0.7405410127415024
fuzzy_3x3,rapid_double_step,settling_time_s,not_applicable,50,50,0.05886000000000001,0.060530650019942255,0.041657379625819405,0.07606262037418061,0.035,0.081
fuzzy_3x3,rapid_double_step,settling_rate,not_applicable,50,50,1.0,,0.9286524008666414,1.0,,
fuzzy_3x3,rapid_double_step,tracking_efficiency_pct,not_applicable,50,50,92.9213593154253,1.366437582918661,92.53302205163881,93.3096965792118,93.67910597838528,1.0495885709489698
fuzzy_3x3,rapid_fluctuation_cloud_passage,convergence_time_s,not_applicable,50,50,0.07388,0.07588784420418848,0.05231291333515302,0.09544708666484698,0.049,0.10875
fuzzy_3x3,rapid_fluctuation_cloud_passage,convergence_rate,not_applicable,50,50,1.0,,0.9286524008666414,1.0,,
